"Phlox condensata","Phlox","","condensata",NA,NA,"","","tro-25800765",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","condensata","","","(A. Gray) E.E. Nelson","tro-25800765","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox cuspidata","Phlox","","cuspidata",NA,NA,"","","tro-25800370",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","cuspidata","","","Scheele","tro-25800370","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox diffusa","Phlox","","diffusa",NA,NA,"","","tro-25800373",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","diffusa","","","Benth.","tro-25800373","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox dispersa","Phlox","","dispersa",NA,NA,"","","tro-25800376",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","dispersa","","","Sharsm.","tro-25800376","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox divaricata","Phlox","","divaricata",NA,NA,"","","tro-25800377",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","divaricata","","","L.","tro-25800377","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox dolichantha","Phlox","","dolichantha",NA,NA,"","","tro-25800379",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","dolichantha","","","A. Gray","tro-25800379","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox douglasii","Phlox","","douglasii",NA,NA,"","","tro-25800380",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","douglasii","","","Hook.","tro-25800380","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox drummondii","Phlox","","drummondii",NA,NA,"","","kew-2567292",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","drummondii","","","Hook.","kew-2567292","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox floridana","Phlox","","floridana",NA,NA,"","","tro-25800388",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","floridana","","","Benth.","tro-25800388","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox glaberrima","Phlox","","glaberrima",NA,NA,"","","tro-25800389",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","glaberrima","","","L.","tro-25800389","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox griseola","Phlox","","griseola",NA,NA,"","","tro-25800768",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","griseola","","","Wherry","tro-25800768","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox hoodii","Phlox","","hoodii",NA,NA,"","","tro-25800010",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","hoodii","","","Richardson","tro-25800010","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox kelseyi","Phlox","","kelseyi",NA,NA,"","","tro-25800402",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","kelseyi","","","Britton","tro-25800402","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox latifolia","Phlox","","latifolia",NA,NA,"","","kew-2566023",TRUE,"1.1","Synonym","Polemoniaceae","Phlox","","ovata","","","L.","kew-2566040","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox longifolia","Phlox","","longifolia",NA,NA,"","","tro-25800406",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","longifolia","","","Nutt.","tro-25800406","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox maculata","Phlox","","maculata",NA,NA,"","","tro-25800411",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","maculata","","","L.","tro-25800411","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox multiflora","Phlox","","multiflora",NA,NA,"","","tro-25800415",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","multiflora","","","A. Nelson","tro-25800415","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox muscoides","Phlox","","muscoides",NA,NA,"","","tro-25800416",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","muscoides","","","Nutt.","tro-25800416","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox nana","Phlox","","nana",NA,NA,"","","tro-25800417",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","nana","","","Nutt.","tro-25800417","Accepted",FALSE,FALSE,FALSE,2017-05-11
