"Pomatosace filicula","Pomatosace","","filicula",NA,NA,"","","tro-26401131",TRUE,"1.1","Accepted","Primulaceae","Pomatosace","","filicula","","","Maxim.","tro-26401131","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomax umbellata","Pomax","","umbellata",NA,NA,"","","kew-163188",TRUE,"1.1","Accepted","Rubiaceae","Pomax","","umbellata","","","(Gaertn.) Sol. ex A.Rich.","kew-163188","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pombalia arenaria","Pombalia","","arenaria",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","arenaria",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia atropurpurea","Pombalia","","atropurpurea",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","atropurpurea",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia attenuata","Pombalia","","attenuata",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","attenuata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia communis","Pombalia","","communis",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","communis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia hespericlivus","Pombalia","","hespericlivus",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","hespericlivus",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia lanata","Pombalia","","lanata",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","lanata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia leucopogon","Pombalia","","leucopogon",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","leucopogon",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia oppositifolia","Pombalia","","oppositifolia",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","oppositifolia",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia parviflor","Pombalia","","parviflor",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","parviflor",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia setigera","Pombalia","","setigera",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","setigera",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia verbenacea","Pombalia","","verbenacea",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","verbenacea",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pombalia verticillata","Pombalia","","verticillata",NA,NA,"","","",FALSE,"1.1","","","Pombalia","","verticillata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pometia pinnata","Pometia","","pinnata",NA,NA,"","","kew-2543558",TRUE,"1.1","Synonym","Sapindaceae","Allophylus","","cobbe","","","(L.) Raeusch.","kew-2629275","Accepted",FALSE,FALSE,FALSE,2017-05-11
